,id,event_text,url,url_id,company,fiscal_year,fiscal_period,event_type,date,time,timezone
0,1283,04 Feb 2020	Group results for 4th quarter and full-year 2019,http://corporate.ferrari.com/en/investors/events-and-presentations/financial-corporate-calendar,323,NONE,2019,Quarter 4/Q4Annual/Yearly,Sales_Results,02/04/2020,nan,None
1,1301,"MAY 14, 2021 11:55 AM EDT Benzinga Global Small Cap Conference",https://ir.virios.com/events-presentations/events,327,NONE,None,None/Other,Conference,05/14/2021,11:55 AM,EDT/EST/ET
2,56,"The PNC Financial Services Group 2021 Annual Meeting of Shareholders Tuesday, April 27, 2021 11:00 am EDT",https://thepncfinancialservicesgroupinc.gcs-web.com/events-and-presentations,14,The PNC Financial Services Group,2021,Annual/Yearly,Shareholder_Meeting,04/27/2021,11:00 am,EDT/EST/ET
3,1066,"JUN 7, 2021 10:00 AM EDT 2021 Annual Meeting of Stockholders",https://investor.lovesac.com/news-and-events/presentations,267,NONE,2021,Annual/Yearly,Shareholder_Meeting,06/07/2021,10:00 AM,EDT/EST/ET
4,1351,"Jun 4, 2021 at 9:00 AM EDT HOOKER FURNITURE CORP. FIRST QUARTER 2022 EARNINGS WEBCAST Listen to webcast",https://investors.hookerfurniture.com/events,339,HOOKER FURNITURE CORP.,2022,Quarter 1/Q1,Earnings_Release,06/04/2021,9:00 AM,EDT/EST/ET
5,1589,"May 24, 2021 at 11:00 AM EDT Eargo, Inc. at the UBS 2021 Global Healthcare Conference Click here for webcast",https://ir.eargo.com/news-and-events/events-and-presentations,395,"Eargo, Inc.Eargo",None,None/Other,Conference,05/24/2021,11:00 AM,EDT/EST/ET
6,308,"2021 Annual Meeting of Stockholders Jul 20, 2021 • 10:00 am EDT",https://ir.id-systems.com/company-information/presentations,74,NONE,2021,Annual/Yearly,Shareholder_Meeting,07/20/2021,10:00 am10:00 AM,EDT/EST/ET
7,1855,"O’Reilly Automotive, Inc. 3rd Quarter 2020 Earnings Conference Call	OCTOBER 29, 2020",https://corporate.oreillyauto.com/investor-relations-news-room,462,"O’Reilly Automotive, Inc.O’Reilly Automotive",2020,Quarter 3/Q3,Earnings_Call,10/29/2020,nan,None
8,1376,"Vantage Drilling International Schedules Third Quarter 2020 Earnings Release Date and Conference Call On November 2, 2020",http://vantagedrilling.com/investor-relations/presentations/,345,Vantage Drilling International,2020,Quarter 3/Q3,Earnings_Release,11/02/2020,nan,None
9,1660,"Feb 11, 2021	Selective to Speak at the Bank of America Securities 2021 Insurance Conference",https://www.selective.com/investors/financial-calendar,410,Selective,None,None/Other,Conference,02/11/2021,nan,None
10,1656,"OCTOBER 28, 2020 05:00 PM EDT Compass Diversified Q3 2020 Earnings Conference Call WEBCAST",https://ir.compassdiversified.com/events-and-presentations/default.aspx,409,Compass Diversified ,2020,Quarter 3/Q3,Earnings_Call,10/28/2020,5:00 PM,EDT/EST/ET
11,1564,05-12-2021	1Q21 Earnings Release and Webcast,https://www.arcosdorados.com/ir/,389,NONE,2021,Quarter 1/Q1,Earnings_Release,05/12/2021,nan,None
12,1598,07/28/21	 Q2 2021 iRobot Corp Financial Results Press Release,https://investor.irobot.com/events-and-presentations/upcoming-events,397,iRobot Corp,2021,Quarter 2/Q2,Sales_Results,07/28/2021,nan,None
13,1981,"Jun 16, 2021 10:00 AM EDT	 JMP Securities Life Sciences Conference Listen to webcast",http://ir.minervaneurosciences.com/events-and-presentations,492,NONE,None,None/Other,Conference,06/16/2021,10:00 AM,EDT/EST/ET
14,379,"June 21, 2021 at 10:00 AM CEST  SVB Leerink CybeRx Series: Vaccine Forum",https://investors.biontech.de/events-and-presentations,93,NONE,None,None/Other,Other,06/21/2021,10:00 AM,Other
